age_b2k,age_ka_cal_bp,ngrip_depth_m,d18o_permil,core_id
41660,41.610,2127.06,-41.70,1649
41680,41.630,2127.35,-43.61,1651
41700,41.650,2127.64,-42.91,1652
41720,41.670,2127.94,-41.92,1653
41740,41.690,2128.20,-41.67,1654
41760,41.710,2128.48,-43.75,1656
41780,41.730,2128.73,-43.27,1658
41800,41.750,2129.02,-43.60,1658
41820,41.770,2129.30,-42.85,1659
41840,41.790,2129.58,-42.23,1660
41860,41.810,2129.85,-41.83,1660
41880,41.830,2130.12,-42.57,1661
41900,41.850,2130.38,-43.06,1662
41920,41.870,2130.64,-43.66,1663
41940,41.890,2130.94,-42.47,1664
41960,41.910,2131.21,-42.06,1666
41980,41.930,2131.46,-42.84,1667
42000,41.950,2131.73,-43.20,1669
42020,41.970,2132.00,-43.92,1670
42040,41.990,2132.25,-42.03,1672
42060,42.010,2132.54,-42.11,1673
42080,42.030,2132.83,-43.49,1673
42100,42.050,2133.12,-42.25,1674
42120,42.070,2133.39,-42.64,1675
42140,42.090,2133.64,-41.52,1676
42160,42.110,2133.91,-41.73,1678
42180,42.130,2134.16,-42.12,1678
42200,42.150,2134.45,-42.27,1679
42220,42.170,2134.71,-42.17,1680
42240,42.190,2134.99,-42.03,1682
42260,42.210,2135.28,-41.73,1685
42280,42.230,2135.63,-42.66,1685
42300,42.250,2136.00,-40.57,1685
42320,42.270,2136.37,-39.58,1687
42340,42.290,2136.71,-41.50,1688
42360,42.310,2137.04,-40.62,1688
42380,42.330,2137.39,-41.26,1690
42400,42.350,2137.75,-40.76,1691
42420,42.370,2138.09,-40.78,1693
42440,42.390,2138.46,-40.31,1695
42460,42.410,2138.83,-41.63,1695
42480,42.430,2139.17,-41.73,1696
42500,42.450,2139.54,-41.87,1697
42520,42.470,2139.88,-41.14,1698
42540,42.490,2140.24,-40.60,1698
42560,42.510,2140.61,-41.03,1698
42580,42.530,2140.97,-41.65,1700
42600,42.550,2141.30,-40.93,1702
42620,42.570,2141.68,-39.99,1702
42640,42.590,2142.05,-40.38,1704
42660,42.610,2142.39,-41.00,1705
42680,42.630,2142.78,-40.64,1705
42700,42.650,2143.14,-39.68,1707
42720,42.670,2143.49,-39.29,1709
42740,42.690,2143.86,-40.39,1710
42760,42.710,2144.24,-39.40,1711
42780,42.730,2144.58,-39.66,1713
42800,42.750,2144.94,-40.20,1714
42820,42.770,2145.33,-39.53,1716
42840,42.790,2145.78,-39.43,1717
42860,42.810,2146.19,-39.54,1718
42880,42.830,2146.66,-39.47,1719
42900,42.850,2147.12,-39.83,1719
42920,42.870,2147.57,-38.67,1720
42940,42.890,2148.01,-38.99,1721
42960,42.910,2148.48,-39.05,1722
42980,42.930,2148.91,-39.63,1723
