"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.3",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"11786","19502","2862","19662",,,,,24.9,
"Boundary End FO Unit-IIIn",,,,,"29559","26443","29773","18582",,,,,95.8,
"Span Span FO Unit-IIIn",,,,,"338","1949","0","6120",,,,,99.5,
"FO Unit-IIIn age",,,,,"31003","28075","33183","23262",,,,,99.5,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29443","29077","29683","28929",,97.2,,95,99.3,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30105","29844","30278","29663",,99.2,,95,99.4,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75.5","-13","-105","17",,99.7,,,99.9,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31757","29877","33815","29762",,,,,98.5,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1715","4498","6","4672",,,,,98.1,
"Boundary End FO Unit-IIIc",,,,,"34926","33567","35239","31524",,,,,97.6,
"Span Span FO Unit-IIIc",,,,,"2170","3413","1495","4612",,,,,98.4,
"FO Unit-IIIc age",,,,,"37357","34707","38531","33521",,,,,98.7,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37022","35878","37606","35326",,106.3,,95.2,99.4,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37823","36886","38473","36469",,94.3,,94.5,98.7,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35107","34427","35301","34263",,87.6,,91.9,98.4,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","36992","36213","37572","35757",,104.6,,81,99.3,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36980","36220","37550","35786",,104.2,,81.1,99.3,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38491","37222","39280","36879",,,,,98.9,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1423","0","2294",,,,,99.6,
"Boundary End FO Unit-IV.1-IV",,,,,"39765","38700","40009","37739",,,,,99.2,
"Span Span FO Unit-IV.1-IV",,,,,"0","868","0","2604",,,,,99.6,
"FO Unit-IV.1-IV age",,,,,"40352","39099","42279","38077",,,,,99.7,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40197","39197","41040","38473",,124.2,,66.7,99.6,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39869","39451","40174","39271",,101.1,,,99.7,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"41015","39479","44182","39296",,,,,92,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41522","40275","41779","39308",,,,,88.7,
"Boundary End AR Carbonates above A",,,,,"41642","40804","41903","40168",,,,,98.1,
"AR Age Carbonates above A",,,,,"41721","41006","41945","40482",,,,,98.5,
"N AR4 average age","43733","41467","44800","40400","41720","41027","41951","40521",,71.2,,95,98.8,
"R_Date USGS-2839","42191","40296","43129","39037","41713","41008","41938","40506",,132.7,,95.5,98.6,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41815","41201","42010","40760",,,,,98.4,
"Boundary End AR Level A",,,,,"41960","41508","42107","41200",,,,,98.5,
"AR Age Level A",,,,,"42085","41670","42245","41387",,,,,99.4,
"R_Date UA3","42758","41647","43865","41020","42100","41694","42252","41424",,107.3,,95.5,99.4,
"R_Date UA1","42320","41317","42812","40632","42085","41683","42226","41411",,132.4,,95.7,99.4,
"R_Date AA-6608","42176","41029","42583","40124","42076","41676","42215","41399",,127.5,,95.7,99.4,
"R_Date OxA-11967","41541","40469","41961","39900","42042","41651","42176","41369",,48.2,,94.4,99.2,
"R_Date AA-7395","42400","41290","43045","40495","42086","41683","42231","41409",,135,,95.7,99.4,
"R_Date NZA-2311","41976","41126","42273","40597","42061","41671","42191","41401",,108.3,,95.6,99.3,
"R_Date AA-8037B","42758","41647","43865","41020","42099","41695","42250","41421",,107.4,,95.5,99.5,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42230","41808","42414","41558",,,,,98.8,
"Boundary End AR Carbonates below A",,,,,"42566","42231","42701","42000",,,,,99.5,
"AR Age Carbonates below A",,,,,"42635","42346","42776","42165",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42766","42248",,86.6,,95.5,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42360","42744","42220",,119.8,,96.1,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42446","42864","42315",,,,,99.8,
"Boundary End AR Level B",,,,,"42845","42560","43023","42421",,,,,99.8,
"AR Age Level B",,,,,"42971","42622","43292","42479",,,,,99.8,
"R_Date OxA-12025","42811","42496","42990","42364","42915","42640","43099","42506",,88.6,,95.2,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43112","42672","43580","42534",,,,,99.5,
"Boundary End AR Level D",,,,,"43709","42905","44270","42727",,,,,99.3,
"AR Age Level D",,,,,"43998","43107","44556","42865",,,,,99.7,
"R_Date NZA-2313","44410","43055","45285","42611","44001","43128","44507","42896",,118,,95.5,99.7,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44316","43307","44882","42986",,,,,99.4,
"Boundary End AR Carbonate below D",,,,,"44894","43737","45477","43270",,,,,99.2,
"AR Age Carbonate below D",,,,,"45125","43989","45729","43499",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","43975","45750","43475",,137.2,,95.2,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45397","44233","46001","43681",,,,,99.1,
"Boundary End AR Level E",,,,,"45818","44720","46448","44211",,,,,99.3,
"AR Age Level E",,,,,"46031","44951","46644","44488",,,,,99.7,
"R_Date NZA-2314","46722","44746","48336","44235","46003","44962","46602","44550",,126.1,,95.4,99.7,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46249","45168","46865","44703",,,,,99.3,
"Boundary End AR Level H",,,,,"46689","45585","47299","45079",,,,,98.9,
"AR Age Level H",,,,,"46902","45800","47500","45288",,,,,99.4,
"R_Date CAMS_H","52337","44165","...","42911","46905","45802","47498","45292",,115.6,,95.1,99.4,
"R_Date NZA-2315","48181","45723","50184","44765","46902","45833","47498","45322",,124,,95.3,99.4,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47132","45978","47727","45466",,,,,98.9,
"Boundary End AR Travertine H-I",,,,,"47513","46334","48115","45810",,,,,99.1,
"AR Age Travertine H-I",,,,,"47703","46546","48302","46005",,,,,99.4,
"N AR U-series 45100±3100","48293","41907","51300","38900","47726","46517","48346","45959",,112.9,,95.1,99.7,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47917","46737","48520","46186",,,,,98.8,
"Boundary End AR Travertine J-I",,,,,"48302","47148","48862","46611",,,,,97.1,
"AR Age Travertine J-I",,,,,"48492","47336","49105","46785",,,,,98.7,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48552","47276","49132","46754",,126.9,,95.1,99,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48520","47352","49160","46760",,97.3,,95.2,99,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48557","47315","49151","46748",,122.8,,95.1,99,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48525","47300","49100","46775",,135,,95.1,99.1,
