"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 154
Aoverall 158.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48472","47256","49016","46744",,93.9,,95.1,99,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48530","47180","49097","46667",,121.1,,95.1,99.1,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48450","47250","49075","46650",,135.8,,95.1,99.1,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48452","47264","49079","46670",,128.8,,95.1,99.1,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48440","47256","49000","46728",,133,,95.2,99.1,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48440","47240","49016","46712",,112.8,,95.1,99.1,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48432","47262","49056","46664",,129.6,,95.1,99.1,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48420","47270","49064","46695",,131,,95.2,99.1,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48395","47255","48995","46700",,93,,95.1,99.1,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48658","47383","49313","46855",,,,,97.2,
"Boundary End AR Level J",,,,,"49092","47674","49978","47032",,,,,97.8,
"AR Age Level J",,,,,"49343","47819","50287","47122",,,,,97.7,
"R_Date NZA-2316","52527","47569","...","46839","49342","47836","50285","47125",,114.8,,95.1,97.7,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49589","47924","50631","47233",,,,,96.9,
"Boundary End AR Carbonate above J",,,,,"50033","48168","51300","47404",,,,,95.7,
"AR Age Carbonate above J",,,,,"50272","48282","51592","47529",,,,,95.5,
"N AR U-series 50400±2600","53078","47722","55600","45200","50278","48302","51604","47496",,124,,95.1,96.5,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"50607","48207","51936","47654",,,,,57.2,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M3 transition-core baseline",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","5.37764e-17","2.3","5.37764e-17","3.176",,100,,,99.4,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.9,
"Outlier_Model General",,,,,"-90","91","-931","929",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
