"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 153
Aoverall 159.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"AR Age Carbonates above A",,,,,"41739","41058","41956","40560",,,,,98.3,
"N AR4 average age","43733","41467","44800","40400","41742","41082","41962","40620",,74.2,,95.1,98.5,
"R_Date USGS-2839","42191","40296","43129","39037","41739","41069","41950","40583",,133.4,,95.3,98.3,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41836","41239","42020","40807",,,,,98.7,
"Boundary End AR Level A",,,,,"41971","41530","42113","41225",,,,,98.9,
"AR Age Level A",,,,,"42090","41687","42247","41409",,,,,99.5,
"R_Date UA3","42758","41647","43865","41020","42107","41712","42253","41440",,108.7,,95.4,99.6,
"R_Date UA1","42320","41317","42812","40632","42090","41698","42230","41426",,132.7,,95.5,99.5,
"R_Date AA-6608","42176","41029","42583","40124","42080","41690","42220","41418",,126.9,,95.5,99.5,
"R_Date OxA-11967","41541","40469","41961","39900","42047","41666","42181","41391",,46.5,,94.5,99.4,
"R_Date AA-7395","42400","41290","43045","40495","42091","41700","42236","41430",,135.4,,95.5,99.5,
"R_Date NZA-2311","41976","41126","42273","40597","42064","41684","42195","41418",,107,,95.5,99.5,
"R_Date AA-8037B","42758","41647","43865","41020","42106","41711","42256","41442",,108.7,,95.4,99.6,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42226","41826","42414","41575",,,,,99.3,
"Boundary End AR Carbonates below A",,,,,"42564","42233","42702","42005",,,,,99.5,
"AR Age Carbonates below A",,,,,"42635","42345","42777","42168",,,,,99.8,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42766","42248",,86.6,,95.4,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42360","42746","42222",,119.6,,95.9,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42710","42445","42856","42310",,,,,99.8,
"Boundary End AR Level B",,,,,"42845","42560","43019","42423",,,,,99.8,
"AR Age Level B",,,,,"42974","42625","43290","42480",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42915","42639","43096","42507",,88.4,,95.1,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43117","42678","43582","42535",,,,,99.6,
"Boundary End AR Level D",,,,,"43700","42907","44266","42730",,,,,99.4,
"AR Age Level D",,,,,"44007","43115","44549","42870",,,,,99.7,
"R_Date NZA-2313","44410","43055","45285","42611","44010","43136","44496","42894",,118,,95.4,99.7,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44302","43304","44853","42978",,,,,99.4,
"Boundary End AR Carbonate below D",,,,,"44882","43743","45465","43296",,,,,99.3,
"AR Age Carbonate below D",,,,,"45115","43992","45710","43504",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","44000","45725","43475",,137.3,,95.1,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45381","44235","45965","43693",,,,,99.3,
"Boundary End AR Level E",,,,,"45803","44711","46408","44218",,,,,99.3,
"AR Age Level E",,,,,"45997","44943","46599","44485",,,,,99.7,
"R_Date NZA-2314","46722","44746","48336","44235","45986","44974","46562","44543",,126.3,,95.3,99.7,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46217","45135","46820","44703",,,,,99.3,
"Boundary End AR Level H",,,,,"46653","45571","47244","45074",,,,,98.8,
"AR Age Level H",,,,,"46857","45783","47446","45289",,,,,99.2,
"R_Date CAMS_H","52337","44165","...","42911","46857","45782","47444","45289",,115.6,,95,99.3,
"R_Date NZA-2315","48181","45723","50184","44765","46852","45800","47445","45323",,123.1,,95.3,99.3,
