"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 159.4
Aoverall 162.4",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"N AR4 average age","43733","41467","44800","40400","41742","41082","41962","40620",,74.2,,95,99.1,
"R_Date USGS-2839","42191","40296","43129","39037","41743","41070","41956","40577",,133.4,,95.3,99,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41836","41244","42017","40809",,,,,99,
"Boundary End AR Level A",,,,,"41970","41532","42112","41225",,,,,99.2,
"AR Age Level A",,,,,"42090","41686","42246","41407",,,,,99.7,
"R_Date UA3","42758","41647","43865","41020","42104","41707","42251","41440",,108.3,,95.4,99.7,
"R_Date UA1","42320","41317","42812","40632","42087","41696","42230","41429",,132.7,,95.5,99.6,
"R_Date AA-6608","42176","41029","42583","40124","42076","41687","42218","41417",,127.1,,95.5,99.6,
"R_Date OxA-11967","41541","40469","41961","39900","42045","41665","42179","41390",,46.7,,94.6,99.5,
"R_Date AA-7395","42400","41290","43045","40495","42090","41695","42234","41426",,135.3,,95.5,99.7,
"R_Date NZA-2311","41976","41126","42273","40597","42062","41683","42195","41421",,107.3,,95.5,99.6,
"R_Date AA-8037B","42758","41647","43865","41020","42103","41706","42255","41443",,108.3,,95.4,99.6,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42227","41825","42410","41573",,,,,99.1,
"Boundary End AR Carbonates below A",,,,,"42559","42226","42700","42000",,,,,99.5,
"AR Age Carbonates below A",,,,,"42633","42345","42778","42166",,,,,99.8,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42766","42250",,86.5,,95.3,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42358","42746","42222",,119.6,,95.9,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42713","42445","42859","42313",,,,,99.8,
"Boundary End AR Level B",,,,,"42845","42561","43018","42421",,,,,99.9,
"AR Age Level B",,,,,"42971","42625","43288","42479",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42914","42638","43097","42510",,88.4,,95.1,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43115","42678","43583","42532",,,,,99.6,
"Boundary End AR Level D",,,,,"43700","42910","44268","42729",,,,,99.5,
"AR Age Level D",,,,,"44011","43116","44548","42867",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43999","43132","44503","42900",,118,,95.4,99.7,
