"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 140.6
"R_Date FO-003 OxA-24646 H. sanguineum","31052","30831","31121","30436","31059","30806","31114","30409",,95.8,,95.6,99.2,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-71.5","-10.5","-102","19.5",,99.6,,,100,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"32570","30829","34092","30484",,,,,99.1,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"1026","3513","0","4038",,,,,99.1,
"Boundary End FO Unit-IIIc",,,,,"34952","33569","36696","32059",,,,,98.7,
"Span Span FO Unit-IIIc",,,,,"2116","3451","53","4442",,,,,99,
"FO Unit-IIIc age",,,,,"37396","34813","38473","33667",,,,,99.1,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37037","35899","37612","35326",,107.4,,96.1,99.5,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37811","36869","38520","36422",,93.4,,94.4,99.2,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35113","34425","37046","34234",,84.3,,88.6,99,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","37000","36212","37602","35706",,107.6,,84,99.3,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36988","36222","37571","35728",,107.1,,84.1,99.4,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38470","37183","39272","36827",,,,,99.4,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1432","0","2330",,,,,99.7,
"Boundary End FO Unit-IV.1-IV",,,,,"39783","38682","40001","37701",,,,,99.2,
"Span Span FO Unit-IV.1-IV",,,,,"0","881","0","2721",,,,,99.6,
"FO Unit-IV.1-IV age",,,,,"40358","39093","42353","38061",,,,,99.6,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40207","39182","41099","38423",,126.7,,71.2,99.6,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39869","39451","40174","39270",,101,,,99.7,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"41032","39460","44419","39293",,,,,90.6,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41469","40257","41757","39334",,,,,89.5,
"Boundary End AR Carbonates above A",,,,,"41640","40822","41883","40158",,,,,98.6,
"AR Age Carbonates above A",,,,,"41718","41016","41937","40480",,,,,99.2,
"N AR4 average age","43733","41467","44800","40400","41720","41027","41940","40521",,71.7,,95.5,99.5,
"R_Date USGS-2839","42191","40296","43129","39037","41713","41019","41930","40506",,134.1,,96.4,99.2,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41812","41202","42000","40760",,,,,99.3,
"Boundary End AR Level A",,,,,"41958","41509","42102","41211",,,,,98.9,
"AR Age Level A",,,,,"42081","41672","42242","41389",,,,,99.6,
"R_Date UA3","42758","41647","43865","41020","42098","41694","42253","41425",,108.2,,96.5,99.6,
"R_Date UA1","42320","41317","42812","40632","42081","41684","42225","41411",,133.8,,96.8,99.7,
"R_Date AA-6608","42176","41029","42583","40124","42072","41675","42216","41401",,128.9,,96.7,99.7,
"R_Date OxA-11967","41541","40469","41961","39900","42036","41650","42173","41368",,48.6,,95,99.6,
"R_Date AA-7395","42400","41290","43045","40495","42084","41681","42230","41410",,136.3,,96.7,99.6,
"R_Date NZA-2311","41976","41126","42273","40597","42055","41670","42190","41401",,109.7,,96.7,99.6,
"R_Date AA-8037B","42758","41647","43865","41020","42098","41693","42250","41425",,108.2,,96.5,99.6,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42223","41814","42414","41564",,,,,98.9,
"Boundary End AR Carbonates below A",,,,,"42566","42230","42699","41996",,,,,99.4,
"AR Age Carbonates below A",,,,,"42636","42346","42776","42161",,,,,99.8,
"N AR U-series 42700±200","42906","42494","43100","42300","42640","42380","42766","42246",,87.7,,96.6,99.8,
"N AR U-series 42500±200","42706","42294","42900","42100","42620","42360","42744","42220",,121,,97.2,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42445","42861","42310",,,,,99.7,
"Boundary End AR Level B",,,,,"42843","42560","43031","42417",,,,,99.8,
"AR Age Level B",,,,,"42975","42625","43306","42477",,,,,99.8,
"R_Date OxA-12025","42811","42496","42990","42364","42914","42638","43106","42505",,89.3,,96.1,99.8,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43116","42675","43596","42529",,,,,99.5,
"Boundary End AR Level D",,,,,"43716","42913","44280","42728",,,,,99.5,
"AR Age Level D",,,,,"44014","43115","44562","42871",,,,,99.7,
"R_Date NZA-2313","44410","43055","45285","42611","44007","43136","44514","42900",,119.2,,96.5,99.7,
"Phase AR Level D",,,,,,,,,,,,,,
