"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 151.3
Aoverall 157.1",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"R_Date UA3","42758","41647","43865","41020","42103","41708","42253","41442",,108.6,,95.4,99.3,
"R_Date UA1","42320","41317","42812","40632","42087","41698","42231","41431",,132.8,,95.6,99.2,
"R_Date AA-6608","42176","41029","42583","40124","42078","41690","42220","41420",,126.9,,95.5,99.2,
"R_Date OxA-11967","41541","40469","41961","39900","42045","41665","42181","41393",,46.4,,94.5,99.1,
"R_Date AA-7395","42400","41290","43045","40495","42090","41699","42234","41429",,135.4,,95.5,99.3,
"R_Date NZA-2311","41976","41126","42273","40597","42063","41684","42195","41419",,107,,95.5,99.2,
"R_Date AA-8037B","42758","41647","43865","41020","42105","41710","42253","41441",,108.6,,95.4,99.3,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42224","41814","42410","41578",,,,,99.1,
"Boundary End AR Carbonates below A",,,,,"42567","42236","42693","42000",,,,,99.6,
"AR Age Carbonates below A",,,,,"42632","42345","42773","42165",,,,,99.9,
"N AR U-series 42700±200","42906","42494","43100","42300","42638","42378","42764","42248",,86.2,,95.4,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42618","42358","42742","42220",,119.8,,95.9,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42710","42445","42858","42311",,,,,99.8,
"Boundary End AR Level B",,,,,"42844","42560","43018","42422",,,,,99.8,
"AR Age Level B",,,,,"42970","42624","43286","42477",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42912","42637","43096","42509",,88.8,,95.1,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43111","42669","43579","42532",,,,,99.6,
"Boundary End AR Level D",,,,,"43714","42905","44267","42730",,,,,99.5,
"AR Age Level D",,,,,"43998","43110","44552","42866",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43995","43129","44499","42895",,117.9,,95.4,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44316","43303","44872","42978",,,,,99.4,
"Boundary End AR Carbonate below D",,,,,"44877","43758","45471","43289",,,,,99.4,
"AR Age Carbonate below D",,,,,"45132","44000","45703","43504",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","43975","45725","43475",,137.3,,95.1,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45383","44234","45970","43686",,,,,99.3,
"Boundary End AR Level E",,,,,"45817","44713","46414","44220",,,,,99.3,
"AR Age Level E",,,,,"46002","44945","46599","44482",,,,,99.7,
"R_Date NZA-2314","46722","44746","48336","44235","45990","44971","46567","44541",,126.2,,95.3,99.7,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46218","45153","46812","44696",,,,,99.3,
"Boundary End AR Level H",,,,,"46669","45564","47268","45068",,,,,98.9,
"AR Age Level H",,,,,"46855","45765","47459","45282",,,,,99.4,
"R_Date CAMS_H","52337","44165","...","42911","46855","45769","47456","45282",,115.6,,95.1,99.3,
"R_Date NZA-2315","48181","45723","50184","44765","46854","45798","47454","45319",,122.9,,95.2,99.3,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47075","45949","47679","45468",,,,,98.7,
"Boundary End AR Travertine H-I",,,,,"47453","46303","48058","45772",,,,,98.7,
"AR Age Travertine H-I",,,,,"47630","46494","48225","45972",,,,,98.8,
"N AR U-series 45100±3100","48293","41907","51300","38900","47695","46424","48222","45959",,114.3,,95.1,99.1,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47839","46677","48434","46149",,,,,98.2,
"Boundary End AR Travertine J-I",,,,,"48208","47074","48788","46550",,,,,97,
"AR Age Travertine J-I",,,,,"48411","47270","49009","46722",,,,,97.7,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48465","47218","49074","46667",,125.3,,95.1,98,
