"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 7.9
Aoverall 11.5",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"R_Date OxA-21665","41599","40345","42020","39727","40690","40162","40825","39837",,88.9,,95.6,99.7,
"R_Date OxA-21674","39415","37815","40051","37090","40661","40022","40816","39449",,22.7,,92.2,99.7,
"R_Date SANU-29016","41464","40003","42070","39429","40685","40141","40825","39787",,109.7,,95.7,99.7,
"R_Date SANU-29019","41770","40315","42173","39558","40688","40150","40828","39806",,94.5,,95.6,99.7,
"R_Date SANU-29017","40812","39266","41462","37866","40670","40095","40824","39674",,126.6,,95.8,99.6,
"Phase ARB Level-H Proto-Aurignacian",,,,,,,,,,,,,,
"Boundary Start ARB Level-H",,,,,"40840","40449","40914","40140",,,,,99.3,
"Interval Gap I-H",,,,,"994","1878","392","2150",,,,,99.5,
"Boundary End ARB Level-I",,,,,"42413","41688","42532","41073",,,,,98.5,
"R_Date OxA-21662","42319","41442","42730","40912","42529","42007","42772","41554",,96.3,,95.6,98.7,
"R_Date OxA-21704","43795","42283","44504","42037","42710","42214","43250","41961",,113.3,,95.6,96.3,
"R_Date OxA-19994","42549","42238","42750","42095","42525","42240","42710","42095",,105.4,,96.2,98.3,
"Phase ARB Level-I Mousterian final",,,,,,,,,,,,,,
"Boundary Start ARB Level-I",,,,,"43096","42243","44201","42102",,,,,29,
"Sequence ARB_local_baseline_v1",,,,,,,,,,,,,,
"Boundary End FO Unit-II",,,,,"9444","7690","9607","2904",,,,,91.1,
"Span Span FO Unit-II",,,,,"194","1603","10","6418",,,,,99.7,
"FO Unit-II age",,,,,"10997","8400","16689","4932",,,,,99.5,
"R_Date FO-002 R-EVA-1986 Cervus elaphus","9440","9311","9461","9295","9446","9313","9468","9288",,99.1,,94.9,99.2,
"R_Date FO-001 OxA-29638 Lynx pardinus","9892","9700","10115","9558","9890","9694","10115","9554",,99.7,,95.1,99.3,
"Phase FO Unit-II (Mesolithic)",,,,,,,,,,,,,,
"Boundary Start FO Unit-II",,,,,"12256","9614","20471","9541",,,,,93.6,
"Curve Atmospheric reset after IIIn",,,,,,,,,,,,,,
"Interval Gap FO Unit-IIIn -> Unit-II",,,,,"13020","19541","4040","19719",,,,,94.2,
"Boundary End FO Unit-IIIn",,,,,"29572","26543","29757","18479",,,,,94.7,
"Span Span FO Unit-IIIn",,,,,"340","1843","6","6124",,,,,99.7,
"FO Unit-IIIn age",,,,,"30878","28218","32476","23548",,,,,99.6,
"R_Date FO-004 Beta-674118 H. sanguineum","29410","29061","29630","28925","29451","29078","29689","28930",,97.2,,95.3,99.4,
"R_Date FO-003 OxA-24646 H. sanguineum","30111","29856","30271","29706","30105","29844","30279","29652",,99.6,,95.1,99.4,
"Delta_R FO IIIn Delta_R","-73.5","-10.5","-102","18","-75","-13","-105.5","17.5",,99.7,,,99.9,
"Curve Marine20 FO IIIn",,,,,,,,,,,,,,
"Phase FO Unit-IIIn (Initial Gravettian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIn",,,,,"31514","29903","32830","29797",,,,,99.3,
"Interval Gap FO Unit-IIIc -> Unit-IIIn",,,,,"2220","4441","659","5056",,,,,99.2,
"Boundary End FO Unit-IIIc",,,,,"34832","33577","36279","32397",,,,,98.5,
"Span Span FO Unit-IIIc",,,,,"2216","3596","1410","4795",,,,,99,
"FO Unit-IIIc age",,,,,"37477","34708","38808","33721",,,,,99.1,
"R_Date FO-007 OxA-34251 ABOx-SC","37056","35790","38195","35284","37039","35857","37707","35290",,105.2,,95.4,99.4,
"R_Date FO-006 OxA-34233 ABOx-SC","38502","37154","39160","36885","37965","36914","38722","36492",,96.8,,94.7,99.1,
"R_Date FO-005 Beta-378800 AAA","34772","34405","35148","34316","35116","34423","36858","34219",,86.6,,90.5,99.1,
"R_Date FO-012 OxA-34250 SW Gallery ABOx-SC","37013","36207","37652","35718","37013","36210","37626","35702",,104.4,,81.7,99.4,
"R_Date FO-013 OxA-34232 SW Gallery ABOx-SC","36990","36212","37609","35771","36994","36209","37589","35723",,104,,81.7,99.4,
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38872","37258","39872","36905",,,,,98.7,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"1940","3548","932","3928",,,,,99.3,
"Boundary End FO Unit-IV.1-IV",,,,,"40935","40759","40964","40606",,,,,99.1,
"Span Span FO Unit-IV.1-IV",,,,,"0","110","0","494",,,,,99.5,
"FO Unit-IV.1-IV age",,,,,"40996","40751","41338","40563",,,,,98.8,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40990","40758","41264","40569",,65.9,,65.5,98.8,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","40968","40805","40968","40638",,0.1,,,99.1,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"41106","40755","41681","40592",,,,,96.4,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"40488","39389","40699","38373",,,,,84.9,
"Boundary End AR Carbonates above A",,,,,"40647","39998","40788","39426",,,,,98.9,
"AR Age Carbonates above A",,,,,"40695","40190","40818","39732",,,,,99.5,
"N AR4 average age","43733","41467","44800","40400","40705","40199","40837","39792",,19.6,,93.2,99.6,
"R_Date USGS-2839","42191","40296","43129","39037","40694","40199","40812","39785",,91.7,,95.4,99.5,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"40763","40370","40863","40016",,,,,99.5,
"Boundary End AR Level A",,,,,"40835","40609","40915","40446",,,,,99,
"AR Age Level A",,,,,"40858","40651","40930","40505",,,,,99.4,
"R_Date UA3","42758","41647","43865","41020","40858","40654","40930","40514",,4.7,,87.3,99.4,
"R_Date UA1","42320","41317","42812","40632","40857","40654","40930","40511",,19.4,,93.3,99.4,
"R_Date AA-6608","42176","41029","42583","40124","40858","40653","40930","40510",,53.2,,95.1,99.4,
"R_Date OxA-11967","41541","40469","41961","39900","40857","40652","40930","40509",,122.7,,96,99.4,
"R_Date AA-7395","42400","41290","43045","40495","40858","40654","40930","40510",,22.6,,93.6,99.4,
"R_Date NZA-2311","41976","41126","42273","40597","40858","40654","40930","40513",,32.1,,94.4,99.4,
"R_Date AA-8037B","42758","41647","43865","41020","40858","40654","40930","40513",,4.7,,87.2,99.4,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"40890","40699","40946","40560",,,,,99.1,
"Boundary End AR Carbonates below A",,,,,"42596","42103","42730","41321",,,,,98.2,
"AR Age Carbonates below A",,,,,"42647","42283","42822","41824",,,,,99.7,
"N AR U-series 42700±200","42906","42494","43100","42300","42632","42362","42770","42210",,82,,95.5,99.8,
"N AR U-series 42500±200","42706","42294","42900","42100","42610","42326","42742","42158",,115.8,,96.4,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42715","42439","42872","42296",,,,,99.8,
"Boundary End AR Level B",,,,,"42846","42555","43032","42411",,,,,99.8,
"AR Age Level B",,,,,"42977","42620","43303","42473",,,,,99.8,
"R_Date OxA-12025","42811","42496","42990","42364","42917","42635","43109","42502",,88.6,,95.4,99.9,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43119","42675","43587","42528",,,,,99.5,
"Boundary End AR Level D",,,,,"43715","42909","44282","42726",,,,,99.5,
"AR Age Level D",,,,,"44018","43113","44564","42870",,,,,99.7,
"R_Date NZA-2313","44410","43055","45285","42611","44016","43137","44510","42895",,118.4,,95.9,99.7,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44341","43308","44884","42974",,,,,99.3,
"Boundary End AR Carbonate below D",,,,,"44919","43753","45503","43287",,,,,99.2,
"AR Age Carbonate below D",,,,,"45146","44006","45747","43505",,,,,99.5,
"N AR U-series 44900±2500","47475","42325","49900","39900","45175","44000","45775","43475",,137.5,,95.3,99.7,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45410","44234","46024","43702",,,,,99.1,
"Boundary End AR Level E",,,,,"45861","44731","46485","44234",,,,,98.8,
"AR Age Level E",,,,,"46060","44965","46667","44504",,,,,99.2,
"R_Date NZA-2314","46722","44746","48336","44235","46026","44981","46625","44564",,126.5,,95.7,99.2,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46284","45167","46888","44705",,,,,99,
"Boundary End AR Level H",,,,,"46743","45627","47353","45130",,,,,98.6,
"AR Age Level H",,,,,"46930","45835","47532","45334",,,,,99,
"R_Date CAMS_H","52337","44165","...","42911","46932","45843","47530","45337",,115.8,,95.2,99.1,
"R_Date NZA-2315","48181","45723","50184","44765","46937","45866","47529","45370",,125.5,,95.5,99.1,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47142","46023","47753","45502",,,,,98.5,
"Boundary End AR Travertine H-I",,,,,"47556","46395","48161","45854",,,,,98.2,
"AR Age Travertine H-I",,,,,"47743","46603","48337","46058",,,,,98.3,
"N AR U-series 45100±3100","48293","41907","51300","38900","47798","46558","48418","46000",,111.9,,95.1,98.6,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47971","46807","48537","46213",,,,,97.4,
"Boundary End AR Travertine J-I",,,,,"48337","47238","48887","46705",,,,,94,
"AR Age Travertine J-I",,,,,"48529","47426","49139","46923",,,,,94,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48570","47410","49237","46859",,128.4,,95.2,94.6,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48562","47426","49170","46914",,100.9,,95.2,94.2,
"N AR J-I U-series 49300±2700","52081","46519","54700","43900","48560","47426","49154","46913",,124.5,,95.1,94.4,
"N AR J-I U-series 47400±2500","49975","44825","52400","42400","48575","47400","49200","46875",,134.5,,95.2,94.5,
"N AR J-I U-series 49200±3300","52599","45801","55800","42600","48614","47360","49175","46898",,131.2,,95.1,94.5,
"N AR J-I U-series 48000±1600","49648","46352","51200","44800","48546","47410","49154","46914",,134.3,,95.4,94.4,
"N AR J-I U-series 46300±2400","48772","43828","51100","41500","48578","47378","49226","46850",,108.7,,95.1,94.7,
"N AR J-I U-series 46900±2600","49578","44222","52100","41700","48510","47444","49160","46898",,127.1,,95.2,94.6,
"N AR J-I U-series 48600±2300","50969","46231","53200","44000","48570","47397","49168","46891",,133.7,,95.2,94.5,
"N AR J-I U-series 46500±1500","48045","44955","49500","43500","48500","47420","49115","46895",,86.1,,95.1,94.6,
"Phase AR Travertine J-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine J-I",,,,,"48761","47596","49415","47092",,,,,90.6,
"Boundary End AR Level J",,,,,"49275","47891","50286","47334",,,,,88.7,
"AR Age Level J",,,,,"49534","48057","50597","47484",,,,,86.9,
"R_Date NZA-2316","52527","47569","...","46839","49538","48069","50596","47497",,120.5,,95.2,86.9,
"Phase AR Level J",,,,,,,,,,,,,,
"Boundary Start AR Level J",,,,,"49836","48198","51007","47610",,,,,84.3,
"Boundary End AR Carbonate above J",,,,,"50338","48487","51692","47864",,,,,77.5,
"AR Age Carbonate above J",,,,,"50581","48565","52108","47898",,,,,68.4,
"N AR U-series 50400±2600","53078","47722","55600","45200","50668","48614","52150","47990",,129.1,,95.2,74.1,
"Phase AR Carbonate above J",,,,,,,,,,,,,,
"Boundary Start AR Carbonate above J",,,,,"51585","47912","52867","47912",,,,,4.9,
"Sequence Abric Romani — full sequence structural consolidado v1",,,,,,,,,,,,,,
"Phase M2 regional ordered-succession null model v1",,,,,,,,,,,,,,
"U(0,4)","3.98986e-17","4","3.98986e-17","4","0.196","3.384","5.37764e-17","3.416",,100,,,96,
"T(5)","-1.14","1.14","-2.65","2.65",,,,,,,,,99.7,
"Outlier_Model General",,,,,"-434","358","-1933","2331",,,,,100,
"Curve Atmospheric",,,,,,,,,,,,,,
