"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 157.4
Aoverall 163.2",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Boundary End AR Level D",,,,,"43715","42911","44268","42732",,,,,99.6,
"AR Age Level D",,,,,"44004","43116","44557","42874",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43999","43131","44502","42900",,118,,95.4,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44302","43299","44870","42989",,,,,99.5,
"Boundary End AR Carbonate below D",,,,,"44887","43761","45473","43296",,,,,99.5,
"AR Age Carbonate below D",,,,,"45117","44003","45700","43503",,,,,99.7,
"N AR U-series 44900±2500","47475","42325","49900","39900","45150","44000","45725","43500",,137.3,,95.1,99.9,
"Phase AR Carbonate below D",,,,,,,,,,,,,,
"Boundary Start AR Carbonate below D",,,,,"45388","44224","45972","43702",,,,,99.3,
"Boundary End AR Level E",,,,,"45813","44721","46422","44214",,,,,99.2,
"AR Age Level E",,,,,"46006","44951","46606","44490",,,,,99.5,
"R_Date NZA-2314","46722","44746","48336","44235","45993","44963","46568","44543",,126.3,,95.3,99.5,
"Phase AR Level E",,,,,,,,,,,,,,
"Boundary Start AR Level E",,,,,"46231","45156","46820","44708",,,,,99.2,
"Boundary End AR Level H",,,,,"46659","45570","47241","45079",,,,,98.6,
"AR Age Level H",,,,,"46860","45785","47437","45278",,,,,99,
"R_Date CAMS_H","52337","44165","...","42911","46851","45783","47438","45273",,115.6,,95,99,
"R_Date NZA-2315","48181","45723","50184","44765","46850","45808","47429","45299",,123,,95.2,99,
"Phase AR Level H",,,,,,,,,,,,,,
"Boundary Start AR Level H",,,,,"47059","45959","47660","45455",,,,,98.4,
"Boundary End AR Travertine H-I",,,,,"47449","46300","48057","45773",,,,,97.7,
"AR Age Travertine H-I",,,,,"47614","46492","48233","45977",,,,,97.5,
"N AR U-series 45100±3100","48293","41907","51300","38900","47664","46455","48222","45959",,114.4,,95.1,97.8,
"Phase AR Travertine H-I",,,,,,,,,,,,,,
"Boundary Start AR Travertine H-I",,,,,"47814","46666","48416","46128",,,,,96.7,
"Boundary End AR Travertine J-I",,,,,"48185","47053","48766","46570",,,,,93.7,
"AR Age Travertine J-I",,,,,"48371","47247","48990","46751",,,,,94,
"N AR J-I U-series 49200±2900","52187","46213","55000","43400","48436","47218","49045","46696",,125.2,,95.1,94.4,
"N AR J-I U-series 49300±1600","50948","47652","52500","46100","48408","47256","49000","46760",,93,,95.1,94.1,
