"Name","Unmodelled (BP)",,,,"Modelled (BP)",,,,"Indices
Amodel 131.9
Aoverall 145.6",
,"from_68_3","to_68_3","from_95_4","to_95_4","from_68_3","to_68_3","from_95_4","to_95_4","Acomb","A","L","P","C",
"Phase FO Unit-IIIc (Early Aurignacian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IIIc",,,,,"38482","37198","39273","36836",,,,,99.2,
"Interval Gap FO Unit-IV.1-IV -> Unit-IIIc",,,,,"0","1441","0","2311",,,,,99.6,
"Boundary End FO Unit-IV.1-IV",,,,,"39776","38693","40001","37703",,,,,99.2,
"Span Span FO Unit-IV.1-IV",,,,,"0","885","0","2733",,,,,99.7,
"FO Unit-IV.1-IV age",,,,,"40359","39089","42322","38039",,,,,99.6,
"R_Date FO-010 OxA-X-2650-9 AOx-SC","40574","38068","41415","36925","40208","39190","41101","38410",,127.3,,72.2,99.6,
"R_Combine FO-009 subsample combine","39868","39443","40184","39263","39867","39447","40170","39270",,100.6,,,99.7,
"Phase FO Unit-IV.1-IV (Chatelperronian)",,,,,,,,,,,,,,
"Boundary Start FO Unit-IV.1-IV",,,,,"41068","39443","44407","39277",,,,,91,
"Sequence FO_local_baseline_consolidado_v1",,,,,,,,,,,,,,
"Boundary End AR full sequence",,,,,"41464","40303","41778","39279",,,,,88.7,
"Boundary End AR Carbonates above A",,,,,"41638","40813","41896","40176",,,,,98.9,
"AR Age Carbonates above A",,,,,"41719","41011","41947","40489",,,,,99.4,
"N AR4 average age","43733","41467","44800","40400","41720","41027","41951","40532",,72,,95.7,99.6,
"R_Date USGS-2839","42191","40296","43129","39037","41715","41017","41942","40518",,134.4,,96.6,99.4,
"Phase AR Carbonates above A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates above A",,,,,"41816","41208","42007","40769",,,,,99.2,
"Boundary End AR Level A",,,,,"41962","41511","42105","41206",,,,,99.2,
"AR Age Level A",,,,,"42082","41671","42243","41389",,,,,99.8,
"R_Date UA3","42758","41647","43865","41020","42099","41693","42251","41425",,108.3,,96.7,99.7,
"R_Date UA1","42320","41317","42812","40632","42083","41685","42226","41411",,134,,97,99.8,
"R_Date AA-6608","42176","41029","42583","40124","42071","41673","42215","41400",,129.2,,96.9,99.7,
"R_Date OxA-11967","41541","40469","41961","39900","42036","41649","42174","41369",,48.7,,95.2,99.7,
"R_Date AA-7395","42400","41290","43045","40495","42085","41683","42234","41411",,136.5,,96.9,99.8,
"R_Date NZA-2311","41976","41126","42273","40597","42056","41669","42191","41401",,110,,96.9,99.7,
"R_Date AA-8037B","42758","41647","43865","41020","42098","41692","42251","41425",,108.3,,96.7,99.8,
"Phase AR Level A",,,,,,,,,,,,,,
"Boundary Start AR Level A",,,,,"42232","41820","42410","41559",,,,,98.9,
"Boundary End AR Carbonates below A",,,,,"42566","42234","42697","41996",,,,,99.5,
"AR Age Carbonates below A",,,,,"42632","42344","42777","42162",,,,,99.8,
"N AR U-series 42700±200","42906","42494","43100","42300","42636","42376","42766","42246",,87.3,,96.8,99.9,
"N AR U-series 42500±200","42706","42294","42900","42100","42618","42356","42742","42220",,121.3,,97.4,99.9,
"Phase AR Carbonates below A",,,,,,,,,,,,,,
"Boundary Start AR Carbonates below A",,,,,"42711","42444","42862","42314",,,,,99.8,
"Boundary End AR Level B",,,,,"42843","42560","43026","42417",,,,,99.8,
"AR Age Level B",,,,,"42972","42622","43292","42475",,,,,99.9,
"R_Date OxA-12025","42811","42496","42990","42364","42915","42637","43101","42505",,89.9,,96.4,99.8,
"Phase AR Level B",,,,,,,,,,,,,,
"Boundary Start AR Level B",,,,,"43116","42675","43580","42529",,,,,99.5,
"Boundary End AR Level D",,,,,"43713","42911","44285","42728",,,,,99.5,
"AR Age Level D",,,,,"44002","43110","44561","42866",,,,,99.8,
"R_Date NZA-2313","44410","43055","45285","42611","43998","43119","44509","42895",,119.4,,96.7,99.8,
"Phase AR Level D",,,,,,,,,,,,,,
"Boundary Start AR Level D",,,,,"44319","43298","44878","42982",,,,,99.4,
